2026-07-15 11:18:53 | INFO     | root | src/logging_config.py:188 | 日志系统初始化完成，日志目录: logs
2026-07-15 11:18:53 | INFO     | root | src/logging_config.py:189 | 常规日志: logs/stock_analysis_20260715.log
2026-07-15 11:18:53 | INFO     | root | src/logging_config.py:190 | 调试日志: logs/stock_analysis_debug_20260715.log
2026-07-15 11:18:53 | INFO     | __main__ | main.py:1269 | ============================================================
2026-07-15 11:18:53 | INFO     | __main__ | main.py:1270 | A股自选股智能分析系统 启动
2026-07-15 11:18:53 | INFO     | __main__ | main.py:1271 | 运行时间: 2026-07-15 11:18:53
2026-07-15 11:18:53 | INFO     | __main__ | main.py:1272 | ============================================================
2026-07-15 11:19:01 | INFO     | src.services.stock_index_remote_service | src/services/stock_index_remote_service.py:246 | [stock-index] remote index refreshed: /home/runner/work/daily_stock_analysis/daily_stock_analysis/data/cache/stocks.index.json
2026-07-15 11:19:01 | INFO     | __main__ | main.py:516 | [stock-index] 分析前已刷新股票索引缓存: /home/runner/work/daily_stock_analysis/daily_stock_analysis/data/cache/stocks.index.json
2026-07-15 11:19:05 | INFO     | src.storage | src/storage.py:1189 | 数据库初始化完成: sqlite:////home/runner/work/daily_stock_analysis/daily_stock_analysis/data/stock_analysis.db
2026-07-15 11:19:05 | INFO     | data_provider.tushare_fetcher | data_provider/tushare_fetcher.py:169 | Tushare API 初始化成功
2026-07-15 11:19:05 | INFO     | data_provider.tushare_fetcher | data_provider/tushare_fetcher.py:200 | ✅ 检测到 TUSHARE_TOKEN 且 API 初始化成功，Tushare 数据源优先级提升为最高 (Priority -1)
2026-07-15 11:19:05 | INFO     | data_provider.base | data_provider/base.py:1232 | 已初始化 8 个数据源（按优先级）: TushareFetcher(P-1), EfinanceFetcher(P0), TencentFetcher(P0), AkshareFetcher(P1), PytdxFetcher(P2), TickFlowFetcher(P2), BaostockFetcher(P3), YfinanceFetcher(P4)
2026-07-15 11:19:05 | INFO     | src.analyzer | src/analyzer.py:2548 | Analyzer LLM: litellm initialized (model=openai/deepseek-v4-flash)
2026-07-15 11:19:05 | WARNING  | src.notification_sender.feishu_sender | src/notification_sender/feishu_sender.py:105 | 无效的 FEISHU_DOMAIN=，回退为 feishu
2026-07-15 11:19:05 | INFO     | src.notification | src/notification.py:263 | 已配置 1 个通知渠道：飞书
2026-07-15 11:19:05 | INFO     | src.search_service | src/search_service.py:2307 | 已配置 Bocha 搜索，共 1 个 API Key
2026-07-15 11:19:05 | INFO     | src.search_service | src/search_service.py:2312 | 已配置 Tavily 搜索，共 1 个 API Key
2026-07-15 11:19:05 | INFO     | src.search_service | src/search_service.py:2322 | 已配置 SerpAPI 搜索，共 1 个 API Key
2026-07-15 11:19:05 | INFO     | src.search_service | src/search_service.py:2339 | 已启用 SearXNG 公共实例自动发现模式
2026-07-15 11:19:05 | INFO     | src.search_service | src/search_service.py:2355 | 新闻时效策略已启用: profile=short, profile_days=3, NEWS_MAX_AGE_DAYS=3, effective_window=3
2026-07-15 11:19:05 | INFO     | src.core.pipeline | src/core/pipeline.py:248 | 调度器初始化完成，最大并发数: 6
2026-07-15 11:19:05 | INFO     | src.core.pipeline | src/core/pipeline.py:249 | 已启用技术分析引擎（均线/趋势/量价指标）
2026-07-15 11:19:05 | INFO     | src.core.pipeline | src/core/pipeline.py:252 | 实时行情已启用 (优先级: tickflow,tencent,akshare_sina,efinance,akshare_em)
2026-07-15 11:19:05 | INFO     | src.core.pipeline | src/core/pipeline.py:256 | 筹码分布分析已启用
2026-07-15 11:19:05 | INFO     | src.core.pipeline | src/core/pipeline.py:262 | 搜索服务已启用
2026-07-15 11:19:05 | INFO     | src.core.pipeline | src/core/pipeline.py:2886 | ===== 开始分析 23 只股票 =====
2026-07-15 11:19:05 | INFO     | src.core.pipeline | src/core/pipeline.py:2887 | 股票列表: 688549, 688981, 002747, 688385, 300604, 688126, 000831, 603178, 600276, 601899, 002261, 688396, 600584, 600460, 300260, 600010, 302132, 002156, 000725, 002049, 300274, 002466, 300763
2026-07-15 11:19:05 | INFO     | src.core.pipeline | src/core/pipeline.py:2888 | 并发数: 6, 模式: 完整分析
2026-07-15 11:19:06 | INFO     | data_provider.tickflow_fetcher | data_provider/tickflow_fetcher.py:638 | [TickFlowFetcher] batch daily K-line is not available; fallback to single requests
2026-07-15 11:19:06 | INFO     | data_provider.tickflow_fetcher | data_provider/tickflow_fetcher.py:641 | [TickFlowFetcher] batch daily prefetch complete: cached=0 total=23 batches=1
2026-07-15 11:19:06 | INFO     | data_provider.base | data_provider/base.py:1568 | [预取] component=realtime_prefetch action=start stock_count=23 prefetch_source=tickflow first_code=688549
2026-07-15 11:19:06 | WARNING  | data_provider.tickflow_fetcher | data_provider/tickflow_fetcher.py:739 | [TickFlowFetcher] batch realtime quote failed: 标的数量超限: 23 (最大: 5)
2026-07-15 11:19:06 | INFO     | src.core.pipeline | src/core/pipeline.py:2782 | ========== 开始处理 688549 ==========
2026-07-15 11:19:06 | INFO     | src.core.pipeline | src/core/pipeline.py:2782 | ========== 开始处理 688981 ==========
2026-07-15 11:19:06 | INFO     | src.core.pipeline | src/core/pipeline.py:2782 | ========== 开始处理 002747 ==========
2026-07-15 11:19:06 | INFO     | src.core.pipeline | src/core/pipeline.py:2782 | ========== 开始处理 688385 ==========
2026-07-15 11:19:06 | INFO     | src.core.pipeline | src/core/pipeline.py:2782 | ========== 开始处理 300604 ==========
2026-07-15 11:19:06 | INFO     | src.core.pipeline | src/core/pipeline.py:2782 | ========== 开始处理 688126 ==========
2026-07-15 11:19:06 | INFO     | src.core.pipeline | src/core/pipeline.py:343 | 中巨芯-U(688549) 开始从数据源获取数据...
2026-07-15 11:19:06 | INFO     | src.core.pipeline | src/core/pipeline.py:343 | 埃斯顿(002747) 开始从数据源获取数据...
2026-07-15 11:19:06 | INFO     | src.core.pipeline | src/core/pipeline.py:343 | 中芯国际(688981) 开始从数据源获取数据...
2026-07-15 11:19:06 | INFO     | data_provider.base | data_provider/base.py:1413 | [数据源尝试 1/8] [TushareFetcher] 获取 688549...
2026-07-15 11:19:06 | INFO     | src.core.pipeline | src/core/pipeline.py:343 | 沪硅产业(688126) 开始从数据源获取数据...
2026-07-15 11:19:06 | INFO     | data_provider.base | data_provider/base.py:1413 | [数据源尝试 1/8] [TushareFetcher] 获取 002747...
2026-07-15 11:19:06 | INFO     | src.core.pipeline | src/core/pipeline.py:343 | 复旦微电(688385) 开始从数据源获取数据...
2026-07-15 11:19:06 | INFO     | data_provider.base | data_provider/base.py:1413 | [数据源尝试 1/8] [TushareFetcher] 获取 688981...
2026-07-15 11:19:06 | INFO     | src.core.pipeline | src/core/pipeline.py:343 | 长川科技(300604) 开始从数据源获取数据...
2026-07-15 11:19:06 | INFO     | data_provider.base | data_provider/base.py:484 | [TushareFetcher] 开始获取 688549 日线数据: 范围=2026-05-16 ~ 2026-07-15
2026-07-15 11:19:06 | INFO     | data_provider.base | data_provider/base.py:1413 | [数据源尝试 1/8] [TushareFetcher] 获取 688126...
2026-07-15 11:19:06 | INFO     | data_provider.base | data_provider/base.py:1413 | [数据源尝试 1/8] [TushareFetcher] 获取 688385...
2026-07-15 11:19:06 | INFO     | data_provider.base | data_provider/base.py:1413 | [数据源尝试 1/8] [TushareFetcher] 获取 300604...
2026-07-15 11:19:07 | WARNING  | data_provider.tushare_fetcher | data_provider/tushare_fetcher.py:512 | Tushare 配额可能超限: 抱歉，您没有接口(daily)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。
2026-07-15 11:19:07 | ERROR    | data_provider.base | data_provider/base.py:521 | [TushareFetcher] 688549 获取失败: 范围=2026-05-16 ~ 2026-07-15, error_type=Exception, elapsed=0.79s, reason=Tushare 配额超限: 抱歉，您没有接口(daily)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。
2026-07-15 11:19:07 | WARNING  | data_provider.base | data_provider/base.py:1474 | [数据源失败 1/8] [TushareFetcher] 688549: error_type=Exception, reason=[TushareFetcher] 688549: Tushare 配额超限: 抱歉，您没有接口(daily)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。
2026-07-15 11:19:07 | INFO     | data_provider.base | data_provider/base.py:484 | [TushareFetcher] 开始获取 002747 日线数据: 范围=2026-05-16 ~ 2026-07-15
